name,type,start_time,duration,"mosi","miso"
"SPI","enable",0.0018923,2e-09,,
"SPI","result",0.001901214,7.5e-06,0x00,0x00
"SPI","result",0.001909212,7.502e-06,0x00,0x00
"SPI","disable",0.00191875,2e-09,,
"SPI","enable",0.001969134,2e-09,,
"SPI","result",0.001970236,7.5e-06,0x00,0x0B
"SPI","result",0.001978234,7.502e-06,0x00,0x7F
"SPI","disable",0.001987772,2e-09,,
"SPI","enable",0.002177638,2e-09,,
"SPI","result",0.002186552,7.5e-06,0x00,0x00
"SPI","result",0.00219455,7.502e-06,0x00,0x00
"SPI","disable",0.002204086,2e-09,,
"SPI","enable",0.002254384,2e-09,,
"SPI","result",0.002255486,7.5e-06,0x00,0x0B
"SPI","result",0.002263484,7.502e-06,0x00,0x7F
"SPI","disable",0.002273022,2e-09,,
"SPI","enable",0.002453562,2e-09,,
"SPI","result",0.002462476,7.5e-06,0x00,0x00
"SPI","result",0.002470476,7.5e-06,0x00,0x00
"SPI","disable",0.002480012,2e-09,,
"SPI","enable",0.002530034,2e-09,,
"SPI","result",0.002531136,7.5e-06,0x00,0x0B
"SPI","result",0.002539134,7.502e-06,0x00,0x80
"SPI","disable",0.002548672,2e-09,,
"SPI","enable",0.00272535,2e-09,,
"SPI","result",0.002734264,7.5e-06,0x00,0x00
"SPI","result",0.002742264,7.5e-06,0x00,0x00
"SPI","disable",0.0027518,2e-09,,
"SPI","enable",0.002802272,2e-09,,
"SPI","result",0.002803374,7.5e-06,0x00,0x4B
"SPI","result",0.002811372,7.502e-06,0x00,0x7F
"SPI","disable",0.00282091,2e-09,,
"SPI","enable",0.00300145,2e-09,,
"SPI","result",0.003010364,7.5e-06,0x00,0x80
"SPI","result",0.003018364,7.5e-06,0x00,0x00
"SPI","disable",0.0030279,2e-09,,
"SPI","enable",0.003078372,2e-09,,
"SPI","result",0.003079474,7.5e-06,0x00,0x4B
"SPI","result",0.003087472,7.502e-06,0x00,0x7F
"SPI","disable",0.00309701,2e-09,,
"SPI","enable",0.00328245,2e-09,,
"SPI","result",0.003291364,7.5e-06,0x00,0x80
"SPI","result",0.003299364,7.5e-06,0x00,0x00
"SPI","disable",0.0033089,2e-09,,
"SPI","enable",0.003359372,2e-09,,
"SPI","result",0.003360474,7.5e-06,0x00,0x4B
"SPI","result",0.003368472,7.502e-06,0x00,0x80
"SPI","disable",0.00337801,2e-09,,
"SPI","enable",0.003558388,2e-09,,
"SPI","result",0.003567302,7.5e-06,0x00,0x80
"SPI","result",0.0035753,7.502e-06,0x00,0x00
"SPI","disable",0.003584838,2e-09,,
"SPI","enable",0.00363531,2e-09,,
"SPI","result",0.003636412,7.5e-06,0x00,0x0B
"SPI","result",0.00364441,7.502e-06,0x00,0x7F
"SPI","disable",0.003653946,2e-09,,
"SPI","enable",0.00383055,2e-09,,
"SPI","result",0.003839464,7.5e-06,0x00,0x00
"SPI","result",0.003847464,7.5e-06,0x00,0x00
"SPI","disable",0.003857,2e-09,,
"SPI","enable",0.003907472,2e-09,,
"SPI","result",0.003908574,7.5e-06,0x00,0x4B
"SPI","result",0.003916574,7.5e-06,0x00,0x80
"SPI","disable",0.00392611,2e-09,,
"SPI","enable",0.004106576,2e-09,,
"SPI","result",0.00411549,7.5e-06,0x00,0x80
"SPI","result",0.00412349,7.5e-06,0x00,0x00
"SPI","disable",0.004133264,2e-09,,
